iteration,min_c5,best_program_id,best_found_iteration,combined_score,runtime_s
1,0.5,03d5c885-5c33-4adf-a2c9-694da8ffc08f,0,1.9999999600000007,0.5840108394622803
2,0.5,03d5c885-5c33-4adf-a2c9-694da8ffc08f,0,1.9999999600000007,0.5840108394622803
3,0.5,03d5c885-5c33-4adf-a2c9-694da8ffc08f,0,1.9999999600000007,0.5840108394622803
4,0.49775235026277,5cffc629-697f-44e4-a60b-852cff4788a7,4,2.009031156521462,0.6085968017578125
5,0.49775235026277,5cffc629-697f-44e4-a60b-852cff4788a7,4,2.009031156521462,0.6085968017578125
6,0.49775235026277,5cffc629-697f-44e4-a60b-852cff4788a7,4,2.009031156521462,0.6085968017578125
7,0.49775235026277,5cffc629-697f-44e4-a60b-852cff4788a7,4,2.009031156521462,0.6085968017578125
8,0.49775235026277,5cffc629-697f-44e4-a60b-852cff4788a7,4,2.009031156521462,0.6085968017578125
9,0.49775235026277,5cffc629-697f-44e4-a60b-852cff4788a7,4,2.009031156521462,0.6085968017578125
10,0.49775235026277,5cffc629-697f-44e4-a60b-852cff4788a7,4,2.009031156521462,0.6085968017578125
11,0.40930339292579776,6baed2b8-2e23-433d-a2f4-675065d4a9e5,11,2.4431753873819835,0.6032648086547852
12,0.40930339292579776,6baed2b8-2e23-433d-a2f4-675065d4a9e5,11,2.4431753873819835,0.6032648086547852
13,0.40930339292579776,6baed2b8-2e23-433d-a2f4-675065d4a9e5,11,2.4431753873819835,0.6032648086547852
14,0.40930339292579776,6baed2b8-2e23-433d-a2f4-675065d4a9e5,11,2.4431753873819835,0.6032648086547852
15,0.40930339292579776,6baed2b8-2e23-433d-a2f4-675065d4a9e5,11,2.4431753873819835,0.6032648086547852
16,0.40930339292579776,6baed2b8-2e23-433d-a2f4-675065d4a9e5,11,2.4431753873819835,0.6032648086547852
17,0.40930339292579776,6baed2b8-2e23-433d-a2f4-675065d4a9e5,11,2.4431753873819835,0.6032648086547852
18,0.40930339292579776,6baed2b8-2e23-433d-a2f4-675065d4a9e5,11,2.4431753873819835,0.6032648086547852
19,0.40930339292579776,6baed2b8-2e23-433d-a2f4-675065d4a9e5,11,2.4431753873819835,0.6032648086547852
20,0.40930339292579776,6baed2b8-2e23-433d-a2f4-675065d4a9e5,11,2.4431753873819835,0.6032648086547852
21,0.40930339292579776,6baed2b8-2e23-433d-a2f4-675065d4a9e5,11,2.4431753873819835,0.6032648086547852
22,0.40930339292579776,6baed2b8-2e23-433d-a2f4-675065d4a9e5,11,2.4431753873819835,0.6032648086547852
